title,price,rooms,mtts,floor,link,description
"Piso en calle Joaquin Zurita, 1, Sector S, Boadilla del Monte",1.600,3 hab.,125 m²,Planta 2ª exterior con ascensor,/inmueble/27402168/?xtmc=2_1_pisos-en-alquiler-chueca-madrid&xtcr=0,"
Se alquila piso totalmente amueblado por traslado al extranjero. ABSTENERSE AGENCIAS. Situado en zona sector 4, muy luminoso. Muebles de...
"
"Piso en calle de Barbieri, Chueca-Justicia, Madrid",3.995,3 hab.,169 m²,Planta 3ª exterior sin ascensor,/inmueble/98474933/?xtmc=2_1_pisos-en-alquiler-chueca-madrid&xtcr=0,"
** Precio variable:
Larga estancia (+ 9 meses) 3.995€/mes
Media estancia (4-9 meses) 4.245€/mes
Corta estancia (1-4 meses) 4.795€/mes **S...
"
"Piso en calle de San Bernardo, Malasaña-Universidad, Madrid",1.000,1 hab.,50 m²,Planta 1ª exterior con ascensor,/inmueble/89876666/?xtmc=2_1_pisos-en-alquiler-chueca-madrid&xtcr=0,"
- DISPONIBLE DESDE EL 1 DE SEPTIEMBRE
- ESTANCIA MÍNIMA 1 AÑO
- CONDICIONES MÍNIMAS: 1 MES ENTRANTE, 1 MES DE FIANZA, 1 MES DE DEPÓSITO C...
"
"Piso en calle de Fernando VI, 10, Chueca-Justicia, Madrid",4.500,2 hab.,120 m²,Planta 1ª exterior con ascensor,/inmueble/98482711/?xtmc=2_1_pisos-en-alquiler-chueca-madrid&xtcr=0,"
Be Premium Real Estate ofrece en alquiler Dúplex totalmente Reformado en una de las mejores zonas de Madrid.
La vivienda se distrtibuye...
"
"Piso en calle de Colmenares, 13, Chueca-Justicia, Madrid",1.450,2 hab.,75 m²,Planta 1ª exterior con ascensor,/inmueble/95702288/?xtmc=2_1_pisos-en-alquiler-chueca-madrid&xtcr=0,"
Precioso piso exterior, muy luminoso en el barrio de Chueca. Distribuido en: hall de entrada, dos habitaciones, salón, baño y cocina. Bal...
"
"Piso en Chueca-Justicia, Madrid",1.500,1 hab.,55 m²,Planta 4ª exterior con ascensor,/inmueble/91832266/?xtmc=2_1_pisos-en-alquiler-chueca-madrid&xtcr=0,"
Se alquila apartamento exterior, amueblado listo para entrar a vivir en edificio icónico de Madrid. Alquiler disponible por meses.
Const...
"
"Dúplex en calle de la Libertad, Chueca-Justicia, Madrid",1.100,1 hab.,60 m²,Planta 4ª exterior sin ascensor,/inmueble/98639764/?xtmc=2_1_pisos-en-alquiler-chueca-madrid&xtcr=0,"
“JOWNER ALQUILA FANTÁSTICO DÚPLEX EN GRAN VÍA”
Exclusivo dúplex de 60m2, distribuidos en salón cocina americana, baño completo y dormito...
"
"Piso en calle de Apodaca, Chueca-Justicia, Madrid",2.750,2 hab.,105 m²,Planta 2ª exterior con ascensor,/inmueble/97731606/?xtmc=2_1_pisos-en-alquiler-chueca-madrid&xtcr=0,"
TERESA ELIAS OFRECE EN EXCLUSIVA MAGNIFICO PISO EN EDIFICIO SEÑORIAL EN LA CALLE APODACA.
RodeadO de todo tipo de servicios y transporte...
"
"Piso en calle de Gravina, 1, Chueca-Justicia, Madrid",2.600,4 hab.,158 m²,Planta 2ª exterior sin ascensor,/inmueble/94733189/?xtmc=2_1_pisos-en-alquiler-chueca-madrid&xtcr=0,"
Amplio piso con reforma reciente a un paso de la plaza de Chueca. Inmejorable localización! El metro Chueca (linea 5) a 1 minuto, Tribuna...
"
"Piso en Chueca-Justicia, Madrid",1.700,1 hab.,60 m²,Planta 3ª exterior con ascensor,/inmueble/94468973/?xtmc=2_1_pisos-en-alquiler-chueca-madrid&xtcr=0,"
a Inmobiliaria Internacional CPM gestiona este magnífico y luminoso apartamento amueblado, de 60 m2 y un dormitorio, próximo a la Renfe d...
"
