title,price,rooms,mtts,floor,link,description
"
Piso en calle Emigdio de la Riva, 33, Vidal, Salamanca
",94.900,3 hab.,82 m²,Planta 4ª exterior sin ascensor,/inmueble/102046319/,"
Solución Inmobiliaria le ofrece en Plaza Barrio Vidal, se vende luminosa vivienda, para entrar a vivir, en muy buen estado. En la calle Emigdio de la Riva, muy luminoso al ser exterior todo, menos cocina y baños
Con una superficie útil de 72 m2, distribuido en 3 dormitorios, salón con salida a balcó
"
"
Piso en plaza San Juan de Sahagún, 2, Sancti Spiritus-San Juan, Salamanca
",197.000,1 hab.,65 m²,Planta 1ª exterior con ascensor,/inmueble/102047052/,"
Solución Inmobiliaria vende una AUTÉNTICA OPORTUNIDAD EN LA PLAZA SAN JUAN DE SAHAGUN!
Le ofrece un espectacular apartamento 55 m2 útiles, reformado de auténtico lujo a estrenar con acabados de Porcelanosa (obra finalizada) muy bien distribuido amplio dormitorio independiente de 14,43 m2 con zona i
"
"
Piso en plaza de Gabriel y Galán, 7, Labradores, Salamanca
",325.000,4 hab.,158 m²,Planta 1ª exterior con ascensor,/inmueble/102047077/,"
GRAN OPORTUNIDAD, LA VIVIENDA REFORMADA MÁS ECONÓNIMA DE LA ZONA! FOTOS REALES! Solución Inmobiliaria le ofrece en plena Plaza de Gabriel y Galán, con magníficas vistas a la misma plaza, vivienda reformada de lujo a estrenar, con altas calidades.
Consta de 158 m2 construidos, distribuidos 4 dormit
"
"
Piso en calle San Mateo, Sancti Spiritus-San Juan, Salamanca
",359.000,7 hab.,190 m²,Planta 4ª exterior con ascensor,/inmueble/101572122/,"
Se vende un magnífico piso en el centro de Salamanca, con una ubicación inmejorable para ofrecerte todos los servicios a pie de calle, tendrás todo lo necesario a tu alcance, podrás acceder a colegios, tiendas, restaurantes.   supermercados, parques y otros lugares de interés sin necesidad de utiliz
"
"
Piso en calle José Jáuregui, Sancti Spiritus-San Juan, Salamanca
",287.000,4 hab.,113 m²,Planta 5ª exterior con ascensor,/inmueble/102046135/,"
¡Descubre tu nuevo hogar en pleno centro de la ciudad! Solución Inmobiliaria tiene el placer de presentarte esta luminosa vivienda en altura, ubicada en una calle peatonal. Con una superficie de 130 m2, este espacioso inmueble ofrece infinitas posibilidades de reforma a tu gusto.
Situado en un edif
"
"
Piso en paseo de Carmelitas, Carmelitas, Salamanca
",725.000,8 hab.,317 m²,Planta 7ª exterior con ascensor,/inmueble/98423158/,"
EXCLUSIVA VIVIENDA JUNTO PUERTA ZAMORA!
PLANTA COMPLETA (séptima) de un edificio en pleno Paseo de Carmelitas, en la acera con orientación SUR. EXTRAORDINARIA propiedad EXTERIOR EN SU TOTALIDAD (a 3 calles prácticamente) para dejar a tu gusto y necesidades.
Con una superficie de 315m² construidos,
"
"
Ático en calle Correhuela, Centro, Salamanca
",360.000,3 hab.,105 m²,Planta 4ª exterior con ascensor,/inmueble/95054639/,"
ATICO JUNTO PLAZA MAYOR! Terraza 24 m2
Tres dormitorios (dos de ellos a terraza), salón comedor con salida a la terraza, cocina y baño.
Exterior. Reformado. Ascensor hasta vivienda. Buena orientación. Gas natural.
TIENES QUE VERLO, HAZ TU OFERTA!
ABSTENERSE CURIOSOS Y GENTE NO INTERESADA EN EST
"
"
Piso en calle Batuecas, 17, San Bernardo, Salamanca
",105.000,2 hab.,56 m²,Planta 3ª exterior sin ascensor,/inmueble/102049576/,"
Único en la zona con estas características!
Solución Inmobiliaria le ofrece una gran oportunidad.
 Vivienda con altura totalmente exterior reformada y con mobiliario nuevo a estrenar.
Ubicada en calle Batuecas, junto Filiberto Villalobos, Campus Universitario y Avda. de Villamayor. ¡Edificio con tej
"
"
Piso en avenida de Villamayor, 75, San Bernardo, Salamanca
",239.999,4 hab.,119 m²,Planta 2ª exterior con ascensor,/inmueble/102179030/,"
Estudio Urbano presenta vivienda completamente exterior en la Av. Villamayor, cuatro habitaciones, dos baños, 100 m2 útiles, Av. Villamayor 75, 239.999€.
Inmueble completamente exterior a excepción de los baños con orientación noreste. Dispone de amplio salón con salida a balcón, cuatro habitacione
"
"
Piso en plaza de Madrid, Salesas, Salamanca
",120.000,3 hab.,86 m²,Planta 4ª exterior con ascensor,/inmueble/100964082/,"
MAGNIFICO PISO EXTERIOR EN PLENA PLAZA DE MADRID
Este piso de 86m² completamente exterior, está distribuido en tres habitaciones. salón, cocina. baño y trastero, es ideal para hacerlo a tu gusto, crea zonas de espacios abiertos y modernos y vive en la casa de tus sueños, en una de las zonas que mas
"
"
Piso en calle María Auxiliadora, Labradores, Salamanca
",365.000,4 hab.,192 m²,Planta 1ª exterior con ascensor,/inmueble/98428572/,"
EN MARÍA AUXILIADORA a 2 minutos de la CALLE TORO, con vista a la Iglesia de María Auxiliadora, amplios ventanales de 3 metros por 1.8 de alto aproximadamente. Se entrega TOTALMENTE REFORMADO EN ALTAS CALIDADES.
Fotos y vídeos REALES.
Piso de 152 metros útiles aproximadamente; distribuidos en gra
"
"
Piso en calle Perú, Prosperidad - Delicias, Salamanca
",198.000,3 hab.,114 m²,Planta 4ª exterior con ascensor,/inmueble/101104779/,"
TOTALMENTE REFORMADO EN ALTAS CALIDADES, muy luminoso con 90m. útiles aproximadamente, ZONA DEL MUSEO DE COMERCIO.
FOTOS REALES.
Piso distribuido en salón con salida a balcón, tres dormitorios, uno de ellos con balcón, cocina independiente y dos baños, uno en dormitorio principal. Plazas de garaje
"
"
Piso en Joaquin Costa, Carmelitas, Salamanca
",126.000,3 hab.,82 m²,Planta 3ª interior con ascensor,/inmueble/101808984/,"
OPORTUNIDAD DE INVERSION! PLAZA DE OESTE!
Inmobiliaria Gesticasa vende piso en la zona de la Plaza del Oeste a escasos minutos del centro de Salamanca.
Se trata de una tercera planta con ascensor, distribuido 3 dormitorios, salón, cocina, baño y galería.
Todo el piso es Interior a patios.
El piso
"
