title,price,rooms,mtts,floor,link,description
"Flat in calle de los Mancebos, Palacio, Madrid",700,1 bed.,45 m²,3rd floor interior without lift,/en/inmueble/98642581/?xtmc=2_1_la-latina&xtcr=0,"
Floor 3rd, apartment total surface area 45 m², usable floor area 39 m², single bedrooms: 1, 1 bathrooms, air conditioning (hot and cold),...
"
"Flat in Lavapiés-Embajadores, Madrid","1,850",2 bed.,100 m²,3rd floor exterior without lift,/en/inmueble/97711966/?xtmc=2_1_la-latina&xtcr=0,"
The CPM International Real Estate manages this magnificent and bright furnished apartment, 100 m2, 2 bedrooms and balconies; next to the...
"
"Studio flat in Ribera curtidores, 2, Lavapiés-Embajadores, Madrid",780,40 m²,3rd floor exterior with lift,1 hour,/en/inmueble/98636863/?xtmc=2_1_la-latina&xtcr=0,"
IDEAL STUDY FOR YOUNG PROFESSIONALS OR MASTER STUDENTS.
Cozy studio fully furnished, renovated and modern. WIFI AND WATER INCLUDED IN THE...
"
"Flat in Lucero, Madrid","1,400",3 bed.,100 m²,7th floor exterior with lift,/en/inmueble/98099276/?xtmc=2_1_la-latina&xtcr=0,"
The CPM International Real Estate manages this wonderful and bright unfurnished apartment, with 100 m2 and 3 bedrooms; located in a gated...
"
"Flat in Juan anton, Puerta del Ángel, Madrid",775,1 bed.,42 m²,3rd floor exterior with lift,/en/inmueble/98641318/?xtmc=2_1_la-latina&xtcr=0,"
Marceli rents, a spacious one-bedroom apartment, two fully-dressed fitted wardrobes, a spacious living room with a gazebo overlooking the...
"
"Flat in plaza de Tirso de Molina, Lavapiés-Embajadores, Madrid","1,380",1 bed.,45 m²,3rd floor exterior with lift,/en/inmueble/95483501/?xtmc=2_1_la-latina&xtcr=0,"
** AVAILABLE AUGUST 01 * TEMPORARY RENTAL FROM 3 TO 11 MONTHS MAXIMUM **
VISIT OR BOOK ONLINE, DON'T MISS THIS OPPORTUNITY ESPECIALLY FO...
"
"Flat in BAILEN, Palacio, Madrid","1,550",2 bed.,100 m²,4th floor exterior without lift,/en/inmueble/98639675/?xtmc=2_1_la-latina&xtcr=0,"
“JOWNER RENT EXCLUSIVE APARTMENT IN PALACE”
Spectacular exterior apartment of 100m2, distributed in a spacious hall, which gives access...
"
"Flat in calle Calatrava, Palacio, Madrid","1,100",1 bed.,45 m²,7th floor interior with lift,/en/inmueble/96243569/?xtmc=2_1_la-latina&xtcr=0,"
**AVAILABLE AUGUST 1* TEMPORARY RENTAL FROM 3 TO 11 MONTHS MAXIMUM **
Visit or reserve online, don't stay without this opportunity in th...
"
"Flat in calle Carlina, Lucero, Madrid",930,3 bed.,78 m²,1st floor exterior without lift,/en/inmueble/98639684/?xtmc=2_1_la-latina&xtcr=0,"
AVC REAL ESTATE RENT:
Magnificent house with three bedrooms. REFURBISHED and fully FURNISHED. The reform was done with top quality materi...
"
"Flat in calle San Carlos, 6, Lavapiés-Embajadores, Madrid","1,360",2 bed.,70 m²,2nd floor exterior with lift,/en/inmueble/97993466/?xtmc=2_1_la-latina&xtcr=0,"
Rent now and get the first month free and registration of supplies. ! Plus you don't pay for water the first 3 years! *
LAUNCHES HOUSING...
"
"Flat in calle de la Encomienda, Lavapiés-Embajadores, Madrid","1,850",2 bed.,96 m²,3rd floor exterior without lift,/en/inmueble/98638182/?xtmc=2_1_la-latina&xtcr=0,"
Abril's team and all its life experience presents you this wonderful furnished apartment, in the heart of Madrid, La Latina. A multicultu...
"
"Flat in calle Bastero, Lavapiés-Embajadores, Madrid","1,180",1 bed.,50 m²,1st floor interior with lift,/en/inmueble/98406232/?xtmc=2_1_la-latina&xtcr=0,"
MONTHLY RENTALS. RENT FOR MONTHS. POSSIBILITY OF RENTING UP TO 11 MONTHS. IMMEDIATE AVAILABILITY.
Ideal for professionals displaced to Ma...
"
"Flat in calle San Conrado, Los Cármenes, Madrid",970,2 bed.,64 m²,1st floor exterior without lift,/en/inmueble/98638208/?xtmc=2_1_la-latina&xtcr=0,"
Active house rents completely exterior housing with all exterior rooms, very bright.
It consists of 2 large bedrooms, living room, kitch...
"
"Flat in calle de Bailén, 35, Palacio, Madrid","1,550",2 bed.,100 m²,4th floor exterior without lift,/en/inmueble/98189670/?xtmc=2_1_la-latina&xtcr=0,"
Be Premium Real Estate offers a renovated apartment for rent with the highest qualities in the famous Palacio area.
THE APARTMENT COMES...
"
"Flat in calle Villaviciosa, 42, Campamento, Madrid",900,3 bed.,79 m²,2nd floor exterior without lift,/en/inmueble/98637978/?xtmc=2_1_la-latina&xtcr=0,"
House for rent, exterior, of 79 m2 (74m2 useful) according to cadastre with three bedrooms, bathroom, living room and separate kitchen fu...
"
"Flat in calle Bastero, Lavapiés-Embajadores, Madrid","1,400",1 bed.,72 m²,3rd floor exterior without lift,/en/inmueble/98569889/?xtmc=2_1_la-latina&xtcr=0,"
WONDERFUL EXTERIOR HOUSE WITH SAUNA! This wonderful exterior house is located in the wonderful bohemian and multicultural neighborhood of...
"
"Flat in calle Sepúlveda, Puerta del Ángel, Madrid",870,3 bed.,51 m²,3rd floor exterior without lift,/en/inmueble/98637387/?xtmc=2_1_la-latina&xtcr=0,"
""PROMOTION: 1 month rent FREE. And also, no agency fees!
Excellent apartment with three bedrooms and a bathroom. It is located on the th...
"
"Flat in calle de Juanelo, Lavapiés-Embajadores, Madrid",850,1 bed.,40 m²,4th floor interior without lift,/en/inmueble/98609612/?xtmc=2_1_la-latina&xtcr=0,"
REF. 55945
Great apartment in the Embajadores neighborhood, in an area of great multicultural activity, surrounded by theaters, movie th...
"
"Flat in calle de Villamanín, Lucero, Madrid",850,3 bed.,80 m², exterior with lift,/en/inmueble/98637168/?xtmc=2_1_la-latina&xtcr=0,"
Very bright 80m2 apartment, consisting of 3 bedrooms, large living room, fitted and equipped kitchen and 1 full bathroom. It has Individu...
"
"Flat in Palacio, Madrid",800,1 bed.,43 m², exterior with lift,/en/inmueble/98193745/?xtmc=2_1_la-latina&xtcr=0,"
Cozy furnished loft in Palacio for rent
Engel & Völkers presents this cozy and comfortable loft with high ceilings, located in the emblem...
"
"Flat in avenida de Las Águilas, 4, Águilas, Madrid","1,275",4 bed.,110 m²,7th floor exterior with lift,/en/inmueble/98636913/?xtmc=2_1_la-latina&xtcr=0,"
Apartment in perfect condition, recently renovated 300 meters from Renfe de Fanjul, better to see, pets are not allowed.
"
"Flat in Palacio, Madrid","1,900",2 bed.,110 m², exterior with lift,/en/inmueble/97756336/?xtmc=2_1_la-latina&xtcr=0,"
New construction flat with balconies for rent
Engel & Völkers presents this magnificent flat located in a completely rehabilitated buildi...
"
"Flat in avenida del Manzanares, Puerta del Ángel, Madrid","1,400",4 bed.,110 m²,Ground floor exterior with lift,/en/inmueble/98636080/?xtmc=2_1_la-latina&xtcr=0,"
Rent & Fincas offers for rent (IDEAL STUDENTS or WORKERS for more than ONE YEAR OF STAY) 110m2 apartment, on Avenida del Manzanares, firs...
"
"Studio flat in calle de Santa Ana, 10, Lavapiés-Embajadores, Madrid","1,103",47 m²,2nd floor exterior with lift,,/en/inmueble/98535947/?xtmc=2_1_la-latina&xtcr=0,"
** FURNISHED APARTMENT**
BE Premium Real Estate offers a new construction apartment for rent in the heart of Madrid.
The completely ren...
"
"Flat in calle de la Encomienda, Lavapiés-Embajadores, Madrid","1,850",2 bed.,98 m²,3rd floor exterior without lift,/en/inmueble/98635995/?xtmc=2_1_la-latina&xtcr=0,"
*AVAILABLE SEPTEMBER 1 * TEMPORARY RENTAL UP TO 11 MONTHS MAXIMUM**
ONLINE BOOKING or IN-PERSON VISIT Fantastic apartment in the La Lati...
"
"Flat in calle de Santa Ana, 8, Lavapiés-Embajadores, Madrid","1,218",1 bed.,53 m²,3rd floor interior with lift,/en/inmueble/98487362/?xtmc=2_1_la-latina&xtcr=0,"
** FURNISHED APARTMENT **
BE Premium Real Estate offers a new construction apartment for rent in the heart of Madrid.
The completely re...
"
"Flat in calle Quero, 109, Aluche, Madrid","1,200",3 bed.,94 m²,3rd floor exterior with lift,/en/inmueble/98635950/?xtmc=2_1_la-latina&xtcr=0,"
AVAILABLE TO ENTER IMMEDIATELY.BRAND NEW REFURBISHED.OUTSIDE TERRACE
Afín Asesores offers you this magnificent apartment for rent, compl...
"
"Flat in calle de Santa Ana, 8, Lavapiés-Embajadores, Madrid","1,070",1 bed.,50 m²,3rd floor interior with lift,/en/inmueble/98486435/?xtmc=2_1_la-latina&xtcr=0,"
BE Premium Real Estate offers a new construction apartment for rent in the heart of Madrid.
The completely renovated house is distribute...
"
